hilo,fase,tipoError,item,error
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=108, fecha=2024-10-31, transaccion='deposito', monto=-500}","Monto no positivo en estado de cuenta (cuenta 108): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=113, fecha=2024-06-13, transaccion='deposito', monto=-500}","Monto no positivo en estado de cuenta (cuenta 113): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=109, fecha=2024-02-12, transaccion='compra', monto=-100}","Monto no positivo en estado de cuenta (cuenta 109): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=104, fecha=2024-03-19, transaccion='retiro', monto=-500}","Monto no positivo en estado de cuenta (cuenta 104): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=120, fecha=2024-12-21, transaccion='compra', monto=-500}","Monto no positivo en estado de cuenta (cuenta 120): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=115, fecha=2024-12-22, transaccion='retiro', monto=-100}","Monto no positivo en estado de cuenta (cuenta 115): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=108, fecha=2024-09-22, transaccion='retiro', monto=-500}","Monto no positivo en estado de cuenta (cuenta 108): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=108, fecha=2024-03-12, transaccion='deposito', monto=-500}","Monto no positivo en estado de cuenta (cuenta 108): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=118, fecha=2024-09-01, transaccion='compra', monto=-100}","Monto no positivo en estado de cuenta (cuenta 118): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=112, fecha=2024-06-12, transaccion='retiro', monto=-500}","Monto no positivo en estado de cuenta (cuenta 112): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=119, fecha=2024-12-23, transaccion='compra', monto=-500}","Monto no positivo en estado de cuenta (cuenta 119): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=112, fecha=2024-07-17, transaccion='retiro', monto=-100}","Monto no positivo en estado de cuenta (cuenta 112): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=105, fecha=2024-12-17, transaccion='retiro', monto=null}","Movimiento anual incompleto: MovimientoAnual{cuentaId=105, fecha=2024-12-17, transaccion='retiro', monto=null}"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=115, fecha=2024-04-04, transaccion='deposito', monto=-100}","Monto no positivo en estado de cuenta (cuenta 115): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=104, fecha=2024-07-17, transaccion='compra', monto=null}","Movimiento anual incompleto: MovimientoAnual{cuentaId=104, fecha=2024-07-17, transaccion='compra', monto=null}"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=111, fecha=2024-05-04, transaccion='deposito', monto=null}","Movimiento anual incompleto: MovimientoAnual{cuentaId=111, fecha=2024-05-04, transaccion='deposito', monto=null}"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=107, fecha=2024-08-08, transaccion='compra', monto=-500}","Monto no positivo en estado de cuenta (cuenta 107): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=117, fecha=2024-11-01, transaccion='deposito', monto=null}","Movimiento anual incompleto: MovimientoAnual{cuentaId=117, fecha=2024-11-01, transaccion='deposito', monto=null}"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=102, fecha=2024-05-23, transaccion='pago', monto=-500}","Tipo de transaccion anual no valido: pago"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=120, fecha=2024-07-26, transaccion='retiro', monto=null}","Movimiento anual incompleto: MovimientoAnual{cuentaId=120, fecha=2024-07-26, transaccion='retiro', monto=null}"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=102, fecha=2024-08-30, transaccion='retiro', monto=null}","Movimiento anual incompleto: MovimientoAnual{cuentaId=102, fecha=2024-08-30, transaccion='retiro', monto=null}"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=103, fecha=2024-07-15, transaccion='pago', monto=3000}","Tipo de transaccion anual no valido: pago"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=102, fecha=2024-08-03, transaccion='pago', monto=1000}","Tipo de transaccion anual no valido: pago"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=110, fecha=2024-08-11, transaccion='compra', monto=-500}","Monto no positivo en estado de cuenta (cuenta 110): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=107, fecha=2024-03-09, transaccion='deposito', monto=-500}","Monto no positivo en estado de cuenta (cuenta 107): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=107, fecha=2024-06-15, transaccion='compra', monto=null}","Movimiento anual incompleto: MovimientoAnual{cuentaId=107, fecha=2024-06-15, transaccion='compra', monto=null}"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=110, fecha=2024-01-14, transaccion='pago', monto=1500}","Tipo de transaccion anual no valido: pago"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=109, fecha=2024-02-13, transaccion='pago', monto=-500}","Tipo de transaccion anual no valido: pago"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=114, fecha=2024-03-16, transaccion='compra', monto=null}","Movimiento anual incompleto: MovimientoAnual{cuentaId=114, fecha=2024-03-16, transaccion='compra', monto=null}"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=103, fecha=2024-12-08, transaccion='deposito', monto=-500}","Monto no positivo en estado de cuenta (cuenta 103): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=116, fecha=2024-04-05, transaccion='compra', monto=-500}","Monto no positivo en estado de cuenta (cuenta 116): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=107, fecha=2024-05-31, transaccion='deposito', monto=-100}","Monto no positivo en estado de cuenta (cuenta 107): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=104, fecha=2024-11-05, transaccion='pago', monto=2000}","Tipo de transaccion anual no valido: pago"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=106, fecha=2024-09-26, transaccion='deposito', monto=-500}","Monto no positivo en estado de cuenta (cuenta 106): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=119, fecha=2024-10-18, transaccion='retiro', monto=-100}","Monto no positivo en estado de cuenta (cuenta 119): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=102, fecha=2024-08-24, transaccion='retiro', monto=-500}","Monto no positivo en estado de cuenta (cuenta 102): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=113, fecha=2024-03-09, transaccion='compra', monto=-100}","Monto no positivo en estado de cuenta (cuenta 113): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=111, fecha=2024-10-31, transaccion='retiro', monto=-500}","Monto no positivo en estado de cuenta (cuenta 111): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=120, fecha=2024-04-15, transaccion='pago', monto=1000}","Tipo de transaccion anual no valido: pago"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=102, fecha=2024-05-26, transaccion='pago', monto=2500}","Tipo de transaccion anual no valido: pago"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=118, fecha=2024-06-09, transaccion='retiro', monto=null}","Movimiento anual incompleto: MovimientoAnual{cuentaId=118, fecha=2024-06-09, transaccion='retiro', monto=null}"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=105, fecha=2024-05-13, transaccion='deposito', monto=-100}","Monto no positivo en estado de cuenta (cuenta 105): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=118, fecha=2024-11-14, transaccion='retiro', monto=-500}","Monto no positivo en estado de cuenta (cuenta 118): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=102, fecha=2024-10-04, transaccion='compra', monto=-500}","Monto no positivo en estado de cuenta (cuenta 102): -500"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=117, fecha=2024-09-13, transaccion='pago', monto=1500}","Tipo de transaccion anual no valido: pago"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=102, fecha=2024-05-11, transaccion='retiro', monto=-100}","Monto no positivo en estado de cuenta (cuenta 102): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=112, fecha=2024-05-30, transaccion='pago', monto=-100}","Tipo de transaccion anual no valido: pago"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=113, fecha=2024-09-08, transaccion='deposito', monto=-100}","Monto no positivo en estado de cuenta (cuenta 113): -100"
taskExecutor-2,PROCESS,InvalidDataException,"MovimientoAnual{cuentaId=120, fecha=2024-05-15, transaccion='retiro', monto=-500}","Monto no positivo en estado de cuenta (cuenta 120): -500"
